OccurrrenceUrn	TextPassage
urn:cite:hmt:venAsign.237	urn:cts:greekLit:tlg0012.tlg001.msA:2.302
urn:cite:hmt:venAsign.238	urn:cts:greekLit:tlg0012.tlg001.msA:2.314
urn:cite:hmt:venAsign.239	urn:cts:greekLit:tlg0012.tlg001.msA:2.318
urn:cite:hmt:venAsign.240	urn:cts:greekLit:tlg0012.tlg001.msA:2.319
urn:cite:hmt:venAsign.241	urn:cts:greekLit:tlg0012.tlg001.msA:2.320
urn:cite:hmt:venAsign.242	urn:cts:greekLit:tlg0012.tlg001.msA:2.328
urn:cite:hmt:venAsign.243	urn:cts:greekLit:tlg0012.tlg001.msA:2.341
urn:cite:hmt:venAsign.244	urn:cts:greekLit:tlg0012.tlg001.msA:2.349
urn:cite:hmt:venAsign.245	urn:cts:greekLit:tlg0012.tlg001.msA:2.353
urn:cite:hmt:venAsign.246	urn:cts:greekLit:tlg0012.tlg001.msA:2.356
urn:cite:hmt:venAsign.247	urn:cts:greekLit:tlg0012.tlg001.msA:2.381
urn:cite:hmt:venAsign.248	urn:cts:greekLit:tlg0012.tlg001.msA:2.385
urn:cite:hmt:venAsign.249	urn:cts:greekLit:tlg0012.tlg001.msA:2.397
urn:cite:hmt:venAsign.250	urn:cts:greekLit:tlg0012.tlg001.msA:2.412
urn:cite:hmt:venAsign.251	urn:cts:greekLit:tlg0012.tlg001.msA:2.417
urn:cite:hmt:venAsign.252	urn:cts:greekLit:tlg0012.tlg001.msA:2.422
urn:cite:hmt:venAsign.253	urn:cts:greekLit:tlg0012.tlg001.msA:2.424
urn:cite:hmt:venAsign.254	urn:cts:greekLit:tlg0012.tlg001.msA:2.435
urn:cite:hmt:venAsign.255	urn:cts:greekLit:tlg0012.tlg001.msA:2.438
urn:cite:hmt:venAsign.256	urn:cts:greekLit:tlg0012.tlg001.msA:2.440
urn:cite:hmt:venAsign.257	urn:cts:greekLit:tlg0012.tlg001.msA:2.453
urn:cite:hmt:venAsign.258	urn:cts:greekLit:tlg0012.tlg001.msA:2.454
urn:cite:hmt:venAsign.259	urn:cts:greekLit:tlg0012.tlg001.msA:2.455
urn:cite:hmt:venAsign.260	urn:cts:greekLit:tlg0012.tlg001.msA:2.480
urn:cite:hmt:venAsign.261	urn:cts:greekLit:tlg0012.tlg001.msA:2.485
urn:cite:hmt:venAsign.262	urn:cts:greekLit:tlg0012.tlg001.msA:2.486
urn:cite:hmt:venAsign.263	urn:cts:greekLit:tlg0012.tlg001.msA:2.498
urn:cite:hmt:venAsign.264	urn:cts:greekLit:tlg0012.tlg001.msA:2.500
urn:cite:hmt:venAsign.265	urn:cts:greekLit:tlg0012.tlg001.msA:2.502
urn:cite:hmt:venAsign.266	urn:cts:greekLit:tlg0012.tlg001.msA:2.507
urn:cite:hmt:venAsign.267	urn:cts:greekLit:tlg0012.tlg001.msA:2.511
urn:cite:hmt:venAsign.268	urn:cts:greekLit:tlg0012.tlg001.msA:2.517
urn:cite:hmt:venAsign.269	urn:cts:greekLit:tlg0012.tlg001.msA:2.520
urn:cite:hmt:venAsign.270	urn:cts:greekLit:tlg0012.tlg001.msA:2.527
urn:cite:hmt:venAsign.271	urn:cts:greekLit:tlg0012.tlg001.msA:2.528
urn:cite:hmt:venAsign.272	urn:cts:greekLit:tlg0012.tlg001.msA:2.529
urn:cite:hmt:venAsign.273	urn:cts:greekLit:tlg0012.tlg001.msA:2.530
urn:cite:hmt:venAsign.274	urn:cts:greekLit:tlg0012.tlg001.msA:2.532
urn:cite:hmt:venAsign.275	urn:cts:greekLit:tlg0012.tlg001.msA:2.547
urn:cite:hmt:venAsign.276	urn:cts:greekLit:tlg0012.tlg001.msA:2.553
urn:cite:hmt:venAsign.277	urn:cts:greekLit:tlg0012.tlg001.msA:2.570
urn:cite:hmt:venAsign.278	urn:cts:greekLit:tlg0012.tlg001.msA:2.571
urn:cite:hmt:venAsign.279	urn:cts:greekLit:tlg0012.tlg001.msA:2.579
urn:cite:hmt:venAsign.280	urn:cts:greekLit:tlg0012.tlg001.msA:2.580
urn:cite:hmt:venAsign.281	urn:cts:greekLit:tlg0012.tlg001.msA:2.581
urn:cite:hmt:venAsign.282	urn:cts:greekLit:tlg0012.tlg001.msA:2.582
urn:cite:hmt:venAsign.283	urn:cts:greekLit:tlg0012.tlg001.msA:2.590
urn:cite:hmt:venAsign.284	urn:cts:greekLit:tlg0012.tlg001.msA:2.592
urn:cite:hmt:venAsign.285	urn:cts:greekLit:tlg0012.tlg001.msA:2.596
urn:cite:hmt:venAsign.286	urn:cts:greekLit:tlg0012.tlg001.msA:2.597
urn:cite:hmt:venAsign.287	urn:cts:greekLit:tlg0012.tlg001.msA:2.599
urn:cite:hmt:venAsign.288	urn:cts:greekLit:tlg0012.tlg001.msA:2.603
urn:cite:hmt:venAsign.289	urn:cts:greekLit:tlg0012.tlg001.msA:2.605
urn:cite:hmt:venAsign.290	urn:cts:greekLit:tlg0012.tlg001.msA:2.612
urn:cite:hmt:venAsign.291	urn:cts:greekLit:tlg0012.tlg001.msA:2.613
urn:cite:hmt:venAsign.292	urn:cts:greekLit:tlg0012.tlg001.msA:2.614
urn:cite:hmt:venAsign.293	urn:cts:greekLit:tlg0012.tlg001.msA:2.616
urn:cite:hmt:venAsign.294	urn:cts:greekLit:tlg0012.tlg001.msA:2.621
urn:cite:hmt:venAsign.295	urn:cts:greekLit:tlg0012.tlg001.msA:2.625
urn:cite:hmt:venAsign.296	urn:cts:greekLit:tlg0012.tlg001.msA:2.626
urn:cite:hmt:venAsign.297	urn:cts:greekLit:tlg0012.tlg001.msA:2.629
urn:cite:hmt:venAsign.298	urn:cts:greekLit:tlg0012.tlg001.msA:2.631
urn:cite:hmt:venAsign.299	urn:cts:greekLit:tlg0012.tlg001.msA:2.634
urn:cite:hmt:venAsign.300	urn:cts:greekLit:tlg0012.tlg001.msA:2.641
urn:cite:hmt:venAsign.301	urn:cts:greekLit:tlg0012.tlg001.msA:2.642
urn:cite:hmt:venAsign.302	urn:cts:greekLit:tlg0012.tlg001.msA:2.649
urn:cite:hmt:venAsign.303	urn:cts:greekLit:tlg0012.tlg001.msA:2.658
urn:cite:hmt:venAsign.304	urn:cts:greekLit:tlg0012.tlg001.msA:2.659
urn:cite:hmt:venAsign.305	urn:cts:greekLit:tlg0012.tlg001.msA:2.667
urn:cite:hmt:venAsign.306	urn:cts:greekLit:tlg0012.tlg001.msA:2.668
urn:cite:hmt:venAsign.307	urn:cts:greekLit:tlg0012.tlg001.msA:2.669
urn:cite:hmt:venAsign.308	urn:cts:greekLit:tlg0012.tlg001.msA:2.670
urn:cite:hmt:venAsign.309	urn:cts:greekLit:tlg0012.tlg001.msA:2.673
urn:cite:hmt:venAsign.310	urn:cts:greekLit:tlg0012.tlg001.msA:2.674
urn:cite:hmt:venAsign.311	urn:cts:greekLit:tlg0012.tlg001.msA:2.675
urn:cite:hmt:venAsign.312	urn:cts:greekLit:tlg0012.tlg001.msA:2.681
urn:cite:hmt:venAsign.313	urn:cts:greekLit:tlg0012.tlg001.msA:2.684
urn:cite:hmt:venAsign.314	urn:cts:greekLit:tlg0012.tlg001.msA:2.689
urn:cite:hmt:venAsign.315	urn:cts:greekLit:tlg0012.tlg001.msA:2.690
urn:cite:hmt:venAsign.316	urn:cts:greekLit:tlg0012.tlg001.msA:2.694
urn:cite:hmt:venAsign.317	urn:cts:greekLit:tlg0012.tlg001.msA:2.696
urn:cite:hmt:venAsign.318	urn:cts:greekLit:tlg0012.tlg001.msA:2.697
urn:cite:hmt:venAsign.319	urn:cts:greekLit:tlg0012.tlg001.msA:2.701
urn:cite:hmt:venAsign.320	urn:cts:greekLit:tlg0012.tlg001.msA:2.718
urn:cite:hmt:venAsign.321	urn:cts:greekLit:tlg0012.tlg001.msA:2.722
urn:cite:hmt:venAsign.322	urn:cts:greekLit:tlg0012.tlg001.msA:2.724
urn:cite:hmt:venAsign.323	urn:cts:greekLit:tlg0012.tlg001.msA:2.725
urn:cite:hmt:venAsign.324	urn:cts:greekLit:tlg0012.tlg001.msA:2.727
urn:cite:hmt:venAsign.325	urn:cts:greekLit:tlg0012.tlg001.msA:2.730
urn:cite:hmt:venAsign.326	urn:cts:greekLit:tlg0012.tlg001.msA:2.741
urn:cite:hmt:venAsign.327	urn:cts:greekLit:tlg0012.tlg001.msA:2.742
urn:cite:hmt:venAsign.328	urn:cts:greekLit:tlg0012.tlg001.msA:2.745
urn:cite:hmt:venAsign.329	urn:cts:greekLit:tlg0012.tlg001.msA:2.763
urn:cite:hmt:venAsign.330	urn:cts:greekLit:tlg0012.tlg001.msA:2.767
urn:cite:hmt:venAsign.331	urn:cts:greekLit:tlg0012.tlg001.msA:2.791
urn:cite:hmt:venAsign.332	urn:cts:greekLit:tlg0012.tlg001.msA:2.792
urn:cite:hmt:venAsign.333	urn:cts:greekLit:tlg0012.tlg001.msA:2.793
urn:cite:hmt:venAsign.334	urn:cts:greekLit:tlg0012.tlg001.msA:2.794
urn:cite:hmt:venAsign.335	urn:cts:greekLit:tlg0012.tlg001.msA:2.795
urn:cite:hmt:venAsign.336	urn:cts:greekLit:tlg0012.tlg001.msA:2.801
urn:cite:hmt:venAsign.337	urn:cts:greekLit:tlg0012.tlg001.msA:2.802
urn:cite:hmt:venAsign.338	urn:cts:greekLit:tlg0012.tlg001.msA:2.807
urn:cite:hmt:venAsign.339	urn:cts:greekLit:tlg0012.tlg001.msA:2.809
urn:cite:hmt:venAsign.340	urn:cts:greekLit:tlg0012.tlg001.msA:2.819
urn:cite:hmt:venAsign.341	urn:cts:greekLit:tlg0012.tlg001.msA:2.820
urn:cite:hmt:venAsign.342	urn:cts:greekLit:tlg0012.tlg001.msA:2.827
urn:cite:hmt:venAsign.343	urn:cts:greekLit:tlg0012.tlg001.msA:2.837
urn:cite:hmt:venAsign.344	urn:cts:greekLit:tlg0012.tlg001.msA:2.838
urn:cite:hmt:venAsign.345	urn:cts:greekLit:tlg0012.tlg001.msA:2.839
urn:cite:hmt:venAsign.346	urn:cts:greekLit:tlg0012.tlg001.msA:2.850
urn:cite:hmt:venAsign.347	urn:cts:greekLit:tlg0012.tlg001.msA:2.851
urn:cite:hmt:venAsign.348	urn:cts:greekLit:tlg0012.tlg001.msA:2.852
urn:cite:hmt:venAsign.349	urn:cts:greekLit:tlg0012.tlg001.msA:2.856
urn:cite:hmt:venAsign.350	urn:cts:greekLit:tlg0012.tlg001.msA:2.860
urn:cite:hmt:venAsign.351	urn:cts:greekLit:tlg0012.tlg001.msA:2.861
urn:cite:hmt:venAsign.352	urn:cts:greekLit:tlg0012.tlg001.msA:2.863
urn:cite:hmt:venAsign.353	urn:cts:greekLit:tlg0012.tlg001.msA:2.867
urn:cite:hmt:venAsign.354	urn:cts:greekLit:tlg0012.tlg001.msA:2.871
urn:cite:hmt:venAsign.355	urn:cts:greekLit:tlg0012.tlg001.msA:2.872
urn:cite:hmt:venAsign.356	urn:cts:greekLit:tlg0012.tlg001.msA:2.874
urn:cite:hmt:venAsign.357	urn:cts:greekLit:tlg0012.tlg001.msA:2.875
urn:cite:hmt:venAsign.358	urn:cts:greekLit:tlg0012.tlg001.msA:3.3
urn:cite:hmt:venAsign.359	urn:cts:greekLit:tlg0012.tlg001.msA:3.4
urn:cite:hmt:venAsign.360	urn:cts:greekLit:tlg0012.tlg001.msA:3.5
urn:cite:hmt:venAsign.361	urn:cts:greekLit:tlg0012.tlg001.msA:3.6
urn:cite:hmt:venAsign.362	urn:cts:greekLit:tlg0012.tlg001.msA:3.10
urn:cite:hmt:venAsign.363	urn:cts:greekLit:tlg0012.tlg001.msA:3.11
urn:cite:hmt:venAsign.364	urn:cts:greekLit:tlg0012.tlg001.msA:3.13
urn:cite:hmt:venAsign.365	urn:cts:greekLit:tlg0012.tlg001.msA:3.18
urn:cite:hmt:venAsign.366	urn:cts:greekLit:tlg0012.tlg001.msA:3.19
urn:cite:hmt:venAsign.367	urn:cts:greekLit:tlg0012.tlg001.msA:3.20
urn:cite:hmt:venAsign.368	urn:cts:greekLit:tlg0012.tlg001.msA:3.25
urn:cite:hmt:venAsign.369	urn:cts:greekLit:tlg0012.tlg001.msA:3.28
urn:cite:hmt:venAsign.370	urn:cts:greekLit:tlg0012.tlg001.msA:3.31
urn:cite:hmt:venAsign.371	urn:cts:greekLit:tlg0012.tlg001.msA:3.36
urn:cite:hmt:venAsign.372	urn:cts:greekLit:tlg0012.tlg001.msA:3.44
urn:cite:hmt:venAsign.373	urn:cts:greekLit:tlg0012.tlg001.msA:3.48
urn:cite:hmt:venAsign.374	urn:cts:greekLit:tlg0012.tlg001.msA:3.49
urn:cite:hmt:venAsign.375	urn:cts:greekLit:tlg0012.tlg001.msA:3.54
urn:cite:hmt:venAsign.376	urn:cts:greekLit:tlg0012.tlg001.msA:3.56
urn:cite:hmt:venAsign.377	urn:cts:greekLit:tlg0012.tlg001.msA:3.65
urn:cite:hmt:venAsign.378	urn:cts:greekLit:tlg0012.tlg001.msA:3.71
urn:cite:hmt:venAsign.379	urn:cts:greekLit:tlg0012.tlg001.msA:3.74
urn:cite:hmt:venAsign.380	urn:cts:greekLit:tlg0012.tlg001.msA:3.80
urn:cite:hmt:venAsign.381	urn:cts:greekLit:tlg0012.tlg001.msA:3.82
urn:cite:hmt:venAsign.382	urn:cts:greekLit:tlg0012.tlg001.msA:3.83
urn:cite:hmt:venAsign.383	urn:cts:greekLit:tlg0012.tlg001.msA:3.92
urn:cite:hmt:venAsign.384	urn:cts:greekLit:tlg0012.tlg001.msA:3.99
urn:cite:hmt:venAsign.385	urn:cts:greekLit:tlg0012.tlg001.msA:3.100
urn:cite:hmt:venAsign.386	urn:cts:greekLit:tlg0012.tlg001.msA:3.103
urn:cite:hmt:venAsign.387	urn:cts:greekLit:tlg0012.tlg001.msA:3.104
urn:cite:hmt:venAsign.388	urn:cts:greekLit:tlg0012.tlg001.msA:3.105
urn:cite:hmt:venAsign.389	urn:cts:greekLit:tlg0012.tlg001.msA:3.108
urn:cite:hmt:venAsign.390	urn:cts:greekLit:tlg0012.tlg001.msA:3.109
urn:cite:hmt:venAsign.391	urn:cts:greekLit:tlg0012.tlg001.msA:3.110
urn:cite:hmt:venAsign.392	urn:cts:greekLit:tlg0012.tlg001.msA:3.122
urn:cite:hmt:venAsign.393	urn:cts:greekLit:tlg0012.tlg001.msA:3.126
urn:cite:hmt:venAsign.394	urn:cts:greekLit:tlg0012.tlg001.msA:3.138
urn:cite:hmt:venAsign.395	urn:cts:greekLit:tlg0012.tlg001.msA:3.144
urn:cite:hmt:venAsign.396	urn:cts:greekLit:tlg0012.tlg001.msA:3.144
urn:cite:hmt:venAsign.397	urn:cts:greekLit:tlg0012.tlg001.msA:3.152
urn:cite:hmt:venAsign.398	urn:cts:greekLit:tlg0012.tlg001.msA:3.155
urn:cite:hmt:venAsign.399	urn:cts:greekLit:tlg0012.tlg001.msA:3.163
urn:cite:hmt:venAsign.400	urn:cts:greekLit:tlg0012.tlg001.msA:3.184
urn:cite:hmt:venAsign.401	urn:cts:greekLit:tlg0012.tlg001.msA:3.205
urn:cite:hmt:venAsign.402	urn:cts:greekLit:tlg0012.tlg001.msA:3.206
urn:cite:hmt:venAsign.403	urn:cts:greekLit:tlg0012.tlg001.msA:3.207
urn:cite:hmt:venAsign.404	urn:cts:greekLit:tlg0012.tlg001.msA:3.211
urn:cite:hmt:venAsign.405	urn:cts:greekLit:tlg0012.tlg001.msA:3.219
urn:cite:hmt:venAsign.406	urn:cts:greekLit:tlg0012.tlg001.msA:3.224
urn:cite:hmt:venAsign.407	urn:cts:greekLit:tlg0012.tlg001.msA:3.230
urn:cite:hmt:venAsign.408	urn:cts:greekLit:tlg0012.tlg001.msA:3.244
urn:cite:hmt:venAsign.409	urn:cts:greekLit:tlg0012.tlg001.msA:3.250
urn:cite:hmt:venAsign.410	urn:cts:greekLit:tlg0012.tlg001.msA:3.257
urn:cite:hmt:venAsign.411	urn:cts:greekLit:tlg0012.tlg001.msA:3.261
urn:cite:hmt:venAsign.412	urn:cts:greekLit:tlg0012.tlg001.msA:3.263
urn:cite:hmt:venAsign.413	urn:cts:greekLit:tlg0012.tlg001.msA:3.270
urn:cite:hmt:venAsign.414	urn:cts:greekLit:tlg0012.tlg001.msA:3.271
urn:cite:hmt:venAsign.415	urn:cts:greekLit:tlg0012.tlg001.msA:3.273
urn:cite:hmt:venAsign.416	urn:cts:greekLit:tlg0012.tlg001.msA:3.276
urn:cite:hmt:venAsign.417	urn:cts:greekLit:tlg0012.tlg001.msA:3.277
urn:cite:hmt:venAsign.418	urn:cts:greekLit:tlg0012.tlg001.msA:3.278
urn:cite:hmt:venAsign.419	urn:cts:greekLit:tlg0012.tlg001.msA:3.279
urn:cite:hmt:venAsign.420	urn:cts:greekLit:tlg0012.tlg001.msA:3.280
urn:cite:hmt:venAsign.421	urn:cts:greekLit:tlg0012.tlg001.msA:3.286
urn:cite:hmt:venAsign.422	urn:cts:greekLit:tlg0012.tlg001.msA:3.297
urn:cite:hmt:venAsign.423	urn:cts:greekLit:tlg0012.tlg001.msA:3.305
urn:cite:hmt:venAsign.424	urn:cts:greekLit:tlg0012.tlg001.msA:3.325
urn:cite:hmt:venAsign.425	urn:cts:greekLit:tlg0012.tlg001.msA:3.333
urn:cite:hmt:venAsign.426	urn:cts:greekLit:tlg0012.tlg001.msA:3.334
urn:cite:hmt:venAsign.427	urn:cts:greekLit:tlg0012.tlg001.msA:3.335
urn:cite:hmt:venAsign.428	urn:cts:greekLit:tlg0012.tlg001.msA:3.339
urn:cite:hmt:venAsign.429	urn:cts:greekLit:tlg0012.tlg001.msA:3.352
urn:cite:hmt:venAsign.430	urn:cts:greekLit:tlg0012.tlg001.msA:3.354
urn:cite:hmt:venAsign.431	urn:cts:greekLit:tlg0012.tlg001.msA:3.361
urn:cite:hmt:venAsign.432	urn:cts:greekLit:tlg0012.tlg001.msA:3.364
urn:cite:hmt:venAsign.433	urn:cts:greekLit:tlg0012.tlg001.msA:3.368
urn:cite:hmt:venAsign.434	urn:cts:greekLit:tlg0012.tlg001.msA:3.380
urn:cite:hmt:venAsign.435	urn:cts:greekLit:tlg0012.tlg001.msA:3.391
urn:cite:hmt:venAsign.436	urn:cts:greekLit:tlg0012.tlg001.msA:3.392
urn:cite:hmt:venAsign.437	urn:cts:greekLit:tlg0012.tlg001.msA:3.395
urn:cite:hmt:venAsign.438	urn:cts:greekLit:tlg0012.tlg001.msA:3.396
urn:cite:hmt:venAsign.439	urn:cts:greekLit:tlg0012.tlg001.msA:3.397
urn:cite:hmt:venAsign.440	urn:cts:greekLit:tlg0012.tlg001.msA:3.398
urn:cite:hmt:venAsign.441	urn:cts:greekLit:tlg0012.tlg001.msA:3.399
urn:cite:hmt:venAsign.442	urn:cts:greekLit:tlg0012.tlg001.msA:3.400
urn:cite:hmt:venAsign.443	urn:cts:greekLit:tlg0012.tlg001.msA:3.401
urn:cite:hmt:venAsign.444	urn:cts:greekLit:tlg0012.tlg001.msA:3.402
urn:cite:hmt:venAsign.445	urn:cts:greekLit:tlg0012.tlg001.msA:3.403
urn:cite:hmt:venAsign.446	urn:cts:greekLit:tlg0012.tlg001.msA:3.404
urn:cite:hmt:venAsign.447	urn:cts:greekLit:tlg0012.tlg001.msA:3.405
urn:cite:hmt:venAsign.448	urn:cts:greekLit:tlg0012.tlg001.msA:3.406
urn:cite:hmt:venAsign.449	urn:cts:greekLit:tlg0012.tlg001.msA:3.407
urn:cite:hmt:venAsign.450	urn:cts:greekLit:tlg0012.tlg001.msA:3.408
urn:cite:hmt:venAsign.451	urn:cts:greekLit:tlg0012.tlg001.msA:3.409
urn:cite:hmt:venAsign.452	urn:cts:greekLit:tlg0012.tlg001.msA:3.410
urn:cite:hmt:venAsign.453	urn:cts:greekLit:tlg0012.tlg001.msA:3.411
urn:cite:hmt:venAsign.454	urn:cts:greekLit:tlg0012.tlg001.msA:3.412
urn:cite:hmt:venAsign.455	urn:cts:greekLit:tlg0012.tlg001.msA:3.413
urn:cite:hmt:venAsign.456	urn:cts:greekLit:tlg0012.tlg001.msA:3.414
urn:cite:hmt:venAsign.457	urn:cts:greekLit:tlg0012.tlg001.msA:3.415
urn:cite:hmt:venAsign.458	urn:cts:greekLit:tlg0012.tlg001.msA:3.416
urn:cite:hmt:venAsign.459	urn:cts:greekLit:tlg0012.tlg001.msA:3.417
urn:cite:hmt:venAsign.460	urn:cts:greekLit:tlg0012.tlg001.msA:3.418
urn:cite:hmt:venAsign.461	urn:cts:greekLit:tlg0012.tlg001.msA:3.423
urn:cite:hmt:venAsign.462	urn:cts:greekLit:tlg0012.tlg001.msA:3.424
urn:cite:hmt:venAsign.463	urn:cts:greekLit:tlg0012.tlg001.msA:3.425
urn:cite:hmt:venAsign.464	urn:cts:greekLit:tlg0012.tlg001.msA:3.426
urn:cite:hmt:venAsign.465	urn:cts:greekLit:tlg0012.tlg001.msA:3.432
urn:cite:hmt:venAsign.466	urn:cts:greekLit:tlg0012.tlg001.msA:3.433
urn:cite:hmt:venAsign.467	urn:cts:greekLit:tlg0012.tlg001.msA:3.434
urn:cite:hmt:venAsign.468	urn:cts:greekLit:tlg0012.tlg001.msA:3.435
urn:cite:hmt:venAsign.469	urn:cts:greekLit:tlg0012.tlg001.msA:3.436
urn:cite:hmt:venAsign.470	urn:cts:greekLit:tlg0012.tlg001.msA:3.445
urn:cite:hmt:venAsign.471	urn:cts:greekLit:tlg0012.tlg001.msA:3.459
urn:cite:hmt:venAsign.472	urn:cts:greekLit:tlg0012.tlg001.msA:3.460
